row_id,recording_id,segment_id,disfluency_type,detected_token,start_time,end_time,duration,clip_path,confidence,notes,audio_url
18,825780,825780_seg_0008,repetition,ह ह,117.38,129.92,12.539999999999992,clips/825780_seg_0008.wav,0.8,Found repetition near token(s): 'ह ह',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
19,825780,825780_seg_0009,filler,हम्म,130.25,144.83,14.580000000000013,clips/825780_seg_0009.wav,0.9,Found filler near token(s): 'हम्म',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
20,825780,825780_seg_0009,filler,तो,130.25,144.83,14.580000000000013,clips/825780_seg_0009.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
21,825780,825780_seg_0009,filler,मतलब,130.25,144.83,14.580000000000013,clips/825780_seg_0009.wav,0.9,Found filler near token(s): 'मतलब',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
22,825780,825780_seg_0009,filler,हाँ,130.25,144.83,14.580000000000013,clips/825780_seg_0009.wav,0.9,Found filler near token(s): 'हाँ',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
23,825780,825780_seg_0009,repetition,ह ह,130.25,144.83,14.580000000000013,clips/825780_seg_0009.wav,0.8,Found repetition near token(s): 'ह ह',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
24,825780,825780_seg_0010,filler,तो,146.18,158.21,12.030000000000001,clips/825780_seg_0010.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
25,825780,825780_seg_0010,repetition,बदक बदक,146.18,158.21,12.030000000000001,clips/825780_seg_0010.wav,0.8,Found repetition near token(s): 'बदक बदक',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
26,825780,825780_seg_0011,filler,तो,160.67,173.24,12.570000000000022,clips/825780_seg_0011.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
27,825780,825780_seg_0011,repetition,उठा उठा,160.67,173.24,12.570000000000022,clips/825780_seg_0011.wav,0.8,Found repetition near token(s): 'उठा उठा',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
28,825780,825780_seg_0011,repetition,बार बार,160.67,173.24,12.570000000000022,clips/825780_seg_0011.wav,0.8,Found repetition near token(s): 'बार बार',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
29,825780,825780_seg_0011,repetition,र र,160.67,173.24,12.570000000000022,clips/825780_seg_0011.wav,0.8,Found repetition near token(s): 'र र',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
30,825780,825780_seg_0011,repetition,नहीं नहीं,160.67,173.24,12.570000000000022,clips/825780_seg_0011.wav,0.8,Found repetition near token(s): 'नहीं नहीं',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
31,825780,825780_seg_0013,filler,तो,178.34,190.85,12.509999999999991,clips/825780_seg_0013.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
32,825780,825780_seg_0013,repetition,र र,178.34,190.85,12.509999999999991,clips/825780_seg_0013.wav,0.8,Found repetition near token(s): 'र र',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
33,825780,825780_seg_0013,repetition,फिर फिर,178.34,190.85,12.509999999999991,clips/825780_seg_0013.wav,0.8,Found repetition near token(s): 'फिर फिर',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
34,825780,825780_seg_0013,repetition,घर घर,178.34,190.85,12.509999999999991,clips/825780_seg_0013.wav,0.8,Found repetition near token(s): 'घर घर',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
35,825780,825780_seg_0014,filler,तो,191.06,202.34,11.280000000000001,clips/825780_seg_0014.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
36,825780,825780_seg_0014,repetition,र र,191.06,202.34,11.280000000000001,clips/825780_seg_0014.wav,0.8,Found repetition near token(s): 'र र',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
37,825780,825780_seg_0015,filler,हाँ,213.56,214.19,0.6299999999999955,clips/825780_seg_0015.wav,0.9,Found filler near token(s): 'हाँ',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
38,825780,825780_seg_0016,filler,मतलब,224.42,229.73,5.310000000000002,clips/825780_seg_0016.wav,0.9,Found filler near token(s): 'मतलब',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
39,825780,825780_seg_0018,filler,जी,246.17,246.59,0.4200000000000159,clips/825780_seg_0018.wav,0.9,Found filler near token(s): 'जी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
40,825780,825780_seg_0019,filler,तो,257.66,264.08,6.419999999999959,clips/825780_seg_0019.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
41,825780,825780_seg_0019,repetition,क क,257.66,264.08,6.419999999999959,clips/825780_seg_0019.wav,0.8,Found repetition near token(s): 'क क',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
42,825780,825780_seg_0021,filler,तो,329.24,336.71,7.46999999999997,clips/825780_seg_0021.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
43,825780,825780_seg_0021,repetition,र र,329.24,336.71,7.46999999999997,clips/825780_seg_0021.wav,0.8,Found repetition near token(s): 'र र',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
44,825780,825780_seg_0023,filler,तो,373.55,384.47,10.920000000000016,clips/825780_seg_0023.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
45,825780,825780_seg_0023,filler,मतलब,373.55,384.47,10.920000000000016,clips/825780_seg_0023.wav,0.9,Found filler near token(s): 'मतलब',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
46,825727,825727_seg_0000,filler,जी,0.47,0.8,0.33000000000000007,clips/825727_seg_0000.wav,0.9,Found filler near token(s): 'जी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
47,825727,825727_seg_0001,filler,जी,6.77,7.22,0.4500000000000002,clips/825727_seg_0001.wav,0.9,Found filler near token(s): 'जी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
48,825727,825727_seg_0002,filler,जी,11.63,14.96,3.33,clips/825727_seg_0002.wav,0.9,Found filler near token(s): 'जी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
49,825727,825727_seg_0002,repetition,जी जी,11.63,14.96,3.33,clips/825727_seg_0002.wav,0.8,Found repetition near token(s): 'जी जी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
50,825727,825727_seg_0003,filler,जी,17.78,21.8,4.02,clips/825727_seg_0003.wav,0.9,Found filler near token(s): 'जी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
51,825727,825727_seg_0003,repetition,जी जी,17.78,21.8,4.02,clips/825727_seg_0003.wav,0.8,Found repetition near token(s): 'जी जी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
52,825727,825727_seg_0005,filler,जी,34.37,34.88,0.5100000000000051,clips/825727_seg_0005.wav,0.9,Found filler near token(s): 'जी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
53,825727,825727_seg_0006,filler,जी,39.83,53.78,13.950000000000003,clips/825727_seg_0006.wav,0.9,Found filler near token(s): 'जी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
54,825727,825727_seg_0006,repetition,हा हा,39.83,53.78,13.950000000000003,clips/825727_seg_0006.wav,0.8,Found repetition near token(s): 'हा हा',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
55,825727,825727_seg_0007,filler,जी,54.71,56.81,2.1000000000000014,clips/825727_seg_0007.wav,0.9,Found filler near token(s): 'जी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
56,825727,825727_seg_0007,repetition,जी जी,54.71,56.81,2.1000000000000014,clips/825727_seg_0007.wav,0.8,Found repetition near token(s): 'जी जी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
57,825727,825727_seg_0009,filler,जी,67.19,74.48,7.290000000000006,clips/825727_seg_0009.wav,0.9,Found filler near token(s): 'जी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
58,825727,825727_seg_0009,repetition,डर डर,67.19,74.48,7.290000000000006,clips/825727_seg_0009.wav,0.8,Found repetition near token(s): 'डर डर',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
59,825727,825727_seg_0010,filler,मतलब,78.92,90.08,11.159999999999997,clips/825727_seg_0010.wav,0.9,Found filler near token(s): 'मतलब',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
60,825727,825727_seg_0010,filler,तो,78.92,90.08,11.159999999999997,clips/825727_seg_0010.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
61,825727,825727_seg_0011,filler,जी,101.36,104.18,2.8200000000000074,clips/825727_seg_0011.wav,0.9,Found filler near token(s): 'जी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
62,825727,825727_seg_0011,repetition,जी जी,101.36,104.18,2.8200000000000074,clips/825727_seg_0011.wav,0.8,Found repetition near token(s): 'जी जी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
63,825727,825727_seg_0012,filler,जी,112.43,113.18,0.75,clips/825727_seg_0012.wav,0.9,Found filler near token(s): 'जी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
64,825727,825727_seg_0012,repetition,जी जी,112.43,113.18,0.75,clips/825727_seg_0012.wav,0.8,Found repetition near token(s): 'जी जी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
65,825727,825727_seg_0013,filler,जी,120.2,126.14,5.939999999999998,clips/825727_seg_0013.wav,0.9,Found filler near token(s): 'जी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
66,825727,825727_seg_0013,repetition,जी जी,120.2,126.14,5.939999999999998,clips/825727_seg_0013.wav,0.8,Found repetition near token(s): 'जी जी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
67,825727,825727_seg_0013,repetition,हा हा,120.2,126.14,5.939999999999998,clips/825727_seg_0013.wav,0.8,Found repetition near token(s): 'हा हा',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
68,825727,825727_seg_0014,filler,जी,129.95,131.3,1.3500000000000227,clips/825727_seg_0014.wav,0.9,Found filler near token(s): 'जी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
69,825727,825727_seg_0014,repetition,जी जी,129.95,131.3,1.3500000000000227,clips/825727_seg_0014.wav,0.8,Found repetition near token(s): 'जी जी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
70,825727,825727_seg_0015,filler,हाँ,134.21,137.03,2.819999999999993,clips/825727_seg_0015.wav,0.9,Found filler near token(s): 'हाँ',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
71,825727,825727_seg_0017,repetition,क क,143.15,148.1,4.949999999999989,clips/825727_seg_0017.wav,0.8,Found repetition near token(s): 'क क',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
72,825727,825727_seg_0019,filler,मतलब,155.42,162.05,6.630000000000024,clips/825727_seg_0019.wav,0.9,Found filler near token(s): 'मतलब',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
73,825727,825727_seg_0019,filler,हाँ,155.42,162.05,6.630000000000024,clips/825727_seg_0019.wav,0.9,Found filler near token(s): 'हाँ',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
74,825727,825727_seg_0019,repetition,अच्छा अच्छा,155.42,162.05,6.630000000000024,clips/825727_seg_0019.wav,0.8,Found repetition near token(s): 'अच्छा अच्छा',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
75,825727,825727_seg_0021,filler,मतलब,176.57,191.15,14.580000000000013,clips/825727_seg_0021.wav,0.9,Found filler near token(s): 'मतलब',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
76,825727,825727_seg_0021,filler,जी,176.57,191.15,14.580000000000013,clips/825727_seg_0021.wav,0.9,Found filler near token(s): 'जी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
77,825727,825727_seg_0021,filler,हाँ,176.57,191.15,14.580000000000013,clips/825727_seg_0021.wav,0.9,Found filler near token(s): 'हाँ',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
78,825727,825727_seg_0021,repetition,ब ब,176.57,191.15,14.580000000000013,clips/825727_seg_0021.wav,0.8,Found repetition near token(s): 'ब ब',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
79,825727,825727_seg_0021,repetition,जी जी,176.57,191.15,14.580000000000013,clips/825727_seg_0021.wav,0.8,Found repetition near token(s): 'जी जी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
80,825727,825727_seg_0021,repetition,हाँ हाँ,176.57,191.15,14.580000000000013,clips/825727_seg_0021.wav,0.8,Found repetition near token(s): 'हाँ हाँ',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
81,825727,825727_seg_0022,filler,हाँ,193.04,195.65,2.6100000000000136,clips/825727_seg_0022.wav,0.9,Found filler near token(s): 'हाँ',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
82,825727,825727_seg_0023,filler,अह,199.1,214.01,14.909999999999997,clips/825727_seg_0023.wav,0.9,Found filler near token(s): 'अह',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
83,825727,825727_seg_0023,filler,तो,199.1,214.01,14.909999999999997,clips/825727_seg_0023.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
84,825727,825727_seg_0023,repetition,अच्छा अच्छा,199.1,214.01,14.909999999999997,clips/825727_seg_0023.wav,0.8,Found repetition near token(s): 'अच्छा अच्छा',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
85,825727,825727_seg_0024,filler,हाँ,214.55,228.98,14.429999999999978,clips/825727_seg_0024.wav,0.9,Found filler near token(s): 'हाँ',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
86,825727,825727_seg_0024,repetition,बिहा बिहा,214.55,228.98,14.429999999999978,clips/825727_seg_0024.wav,0.8,Found repetition near token(s): 'बिहा बिहा',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
87,825727,825727_seg_0024,repetition,भारत भारत,214.55,228.98,14.429999999999978,clips/825727_seg_0024.wav,0.8,Found repetition near token(s): 'भारत भारत',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
88,825727,825727_seg_0025,filler,जी,231.2,246.08,14.880000000000024,clips/825727_seg_0025.wav,0.9,Found filler near token(s): 'जी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
89,825727,825727_seg_0025,filler,तो,231.2,246.08,14.880000000000024,clips/825727_seg_0025.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
90,825727,825727_seg_0025,filler,हूँ,231.2,246.08,14.880000000000024,clips/825727_seg_0025.wav,0.9,Found filler near token(s): 'हूँ',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
91,825727,825727_seg_0025,filler,मतलब,231.2,246.08,14.880000000000024,clips/825727_seg_0025.wav,0.9,Found filler near token(s): 'मतलब',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
92,825727,825727_seg_0025,repetition,जी जी,231.2,246.08,14.880000000000024,clips/825727_seg_0025.wav,0.8,Found repetition near token(s): 'जी जी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
93,825727,825727_seg_0025,repetition,हम हम,231.2,246.08,14.880000000000024,clips/825727_seg_0025.wav,0.8,Found repetition near token(s): 'हम हम',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
94,825727,825727_seg_0025,repetition,ग ग,231.2,246.08,14.880000000000024,clips/825727_seg_0025.wav,0.8,Found repetition near token(s): 'ग ग',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
95,825727,825727_seg_0025,repetition,ब ब,231.2,246.08,14.880000000000024,clips/825727_seg_0025.wav,0.8,Found repetition near token(s): 'ब ब',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
96,825727,825727_seg_0026,filler,तो,246.38,260.12,13.740000000000009,clips/825727_seg_0026.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
97,825727,825727_seg_0026,filler,मतलब,246.38,260.12,13.740000000000009,clips/825727_seg_0026.wav,0.9,Found filler near token(s): 'मतलब',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
98,825727,825727_seg_0027,filler,जी,262.97,276.47,13.5,clips/825727_seg_0027.wav,0.9,Found filler near token(s): 'जी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
99,825727,825727_seg_0027,filler,तो,262.97,276.47,13.5,clips/825727_seg_0027.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
100,825727,825727_seg_0027,filler,मतलब,262.97,276.47,13.5,clips/825727_seg_0027.wav,0.9,Found filler near token(s): 'मतलब',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
101,825727,825727_seg_0027,repetition,जी जी,262.97,276.47,13.5,clips/825727_seg_0027.wav,0.8,Found repetition near token(s): 'जी जी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
102,825727,825727_seg_0027,repetition,जरूरी जरूरी,262.97,276.47,13.5,clips/825727_seg_0027.wav,0.8,Found repetition near token(s): 'जरूरी जरूरी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
103,825727,825727_seg_0027,repetition,ग ग,262.97,276.47,13.5,clips/825727_seg_0027.wav,0.8,Found repetition near token(s): 'ग ग',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
104,825727,825727_seg_0027,repetition,म म,262.97,276.47,13.5,clips/825727_seg_0027.wav,0.8,Found repetition near token(s): 'म म',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
105,825727,825727_seg_0028,filler,तो,276.47,291.35,14.879999999999995,clips/825727_seg_0028.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
106,825727,825727_seg_0028,filler,मतलब,276.47,291.35,14.879999999999995,clips/825727_seg_0028.wav,0.9,Found filler near token(s): 'मतलब',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
107,825727,825727_seg_0028,repetition,भी भी,276.47,291.35,14.879999999999995,clips/825727_seg_0028.wav,0.8,Found repetition near token(s): 'भी भी',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
108,825727,825727_seg_0029,filler,तो,291.44,306.41,14.970000000000027,clips/825727_seg_0029.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
109,825727,825727_seg_0029,filler,मतलब,291.44,306.41,14.970000000000027,clips/825727_seg_0029.wav,0.9,Found filler near token(s): 'मतलब',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
110,825727,825727_seg_0029,repetition,ऐसे ऐसे,291.44,306.41,14.970000000000027,clips/825727_seg_0029.wav,0.8,Found repetition near token(s): 'ऐसे ऐसे',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
111,825727,825727_seg_0030,filler,हाँ,306.44,314.36,7.920000000000016,clips/825727_seg_0030.wav,0.9,Found filler near token(s): 'हाँ',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
112,825727,825727_seg_0030,filler,तो,306.44,314.36,7.920000000000016,clips/825727_seg_0030.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
113,825727,825727_seg_0030,filler,मतलब,306.44,314.36,7.920000000000016,clips/825727_seg_0030.wav,0.9,Found filler near token(s): 'मतलब',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
114,825727,825727_seg_0030,repetition,स स,306.44,314.36,7.920000000000016,clips/825727_seg_0030.wav,0.8,Found repetition near token(s): 'स स',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
115,825727,825727_seg_0031,filler,मतलब,314.42,327.53,13.109999999999957,clips/825727_seg_0031.wav,0.9,Found filler near token(s): 'मतलब',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
116,825727,825727_seg_0031,filler,तो,314.42,327.53,13.109999999999957,clips/825727_seg_0031.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
117,825727,825727_seg_0031,repetition,न न,314.42,327.53,13.109999999999957,clips/825727_seg_0031.wav,0.8,Found repetition near token(s): 'न न',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
118,825727,825727_seg_0033,filler,तो,342.47,355.79,13.319999999999993,clips/825727_seg_0033.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
119,825727,825727_seg_0033,repetition,क क,342.47,355.79,13.319999999999993,clips/825727_seg_0033.wav,0.8,Found repetition near token(s): 'क क',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
120,825727,825727_seg_0034,filler,तो,355.88,369.77,13.889999999999986,clips/825727_seg_0034.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825727_audio.wav
